TSB_nm,lambda_nm,T
4.0,476.0,0.0411218115148761
4.0,478.0,0.0211954820849043
4.0,480.00000000000006,0.0068902825899903
4.0,482.0,0.00025219987775748143
4.0,484.00000000000006,0.0029372249622729
4.0,486.0000000000001,0.0155646008199493
4.0,488.00000000000006,0.0370989567295588
4.0,490.00000000000006,0.0646023431141201
4.0,492.0,0.0936885796900736
4.0,494.00000000000006,0.1193846948758623
4.0,496.0,0.1371164895354783
4.0,498.00000000000006,0.1432637457062363
4.0,500.00000000000006,0.1353005867395562
4.0,502.0,0.1119907827501808
4.0,504.00000000000006,0.0743711654049083
4.0,506.0,0.0298414796583014
4.0,508.00000000000006,0.0005880986502656034
4.0,510.0,0.0303029771775735
4.0,512.0,0.1563496106649749
4.0,514.0000000000001,0.3457090146974753
4.0,516.0,0.5170867705277123
4.0,518.0000000000001,0.6311348800156601
4.0,520.0,0.6956440383302317
4.0,522.0,0.7292304573266551
4.0,524.0,0.7457345860568924
4.0,526.0,0.7532714335979139
4.0,528.0000000000001,0.7562696802170936
4.0,530.0,0.7571071009432239
4.0,532.0,0.7570622378270506
4.0,534.0000000000001,0.7568242046752074
4.0,536.0,0.7567615494312834
4.0,538.0000000000001,0.7570653079134713
4.0,540.0,0.7578264865622922
4.0,542.0000000000001,0.7590788840570125
4.0,544.0,0.760823220083467
4.0,546.0,0.7630409640987139
4.0,548.0000000000001,0.7657023696831625
4.0,550.0,0.7687711871323079
4.0,552.0000000000001,0.7722074406150753
4.0,554.0,0.7759690628103442
4.0,556.0,0.7800128487370454
4.0,558.0,0.7842950017909391
4.0,560.0,0.7887714353536952
4.0,562.0000000000001,0.7933979283898098
4.0,564.0,0.798130194231138
4.0,566.0000000000001,0.8029238975762486
4.0,568.0,0.807734639462053
4.0,570.0,0.812517920032047
4.0,572.0,0.8172290821425864
4.0,574.0,0.8218232339542111
4.0,576.0000000000001,0.8262551447918487
4.0,578.0,0.8304791051850857
4.0,580.0000000000001,0.8344487387265523
4.0,582.0000000000001,0.8381167498761587
4.0,584.0,0.8414345877755751
4.0,586.0,0.8443520011634624
4.0,588.0,0.8468164531578861
4.0,590.0000000000001,0.8487723564142301
4.0,592.0,0.8501600781842725
4.0,594.0,0.850914649983151
4.0,596.0000000000001,0.8509640963180681
4.0,598.0,0.8502272688260432
4.0,600.0000000000001,0.848611031977271
4.0,602.0,0.8460065836636589
4.0,604.0000000000001,0.8422845552094154
4.0,606.0,0.8372875411348148
4.0,608.0,0.8308466267394145
4.0,610.0000000000001,0.8226787362793909
4.0,612.0,0.8125217454528321
4.0,614.0000000000001,0.7999904460599451
4.0,616.0,0.7846003110156786
4.0,618.0,0.7657255822866279
4.0,620.0,0.7425529694340934
4.0,622.0,0.7140233384278879
4.0,624.0000000000001,0.6787635250233627
4.0,626.0,0.6350214309698167
4.0,628.0000000000001,0.5806455523917506
4.0,630.0000000000001,0.5132156681252895
4.0,632.0,0.4305680236152494
4.0,634.0,0.3321840186015089
4.0,636.0,0.2220695624356548
4.0,638.0000000000001,0.1130672291217223
4.0,640.0,0.0294482852340547
4.0,642.0000000000001,0.00018020270250360132
4.0,644.0000000000001,0.040184997249417
4.0,646.0,0.1368295097333455
4.0,648.0,0.2596042328835943
4.0,650.0,0.3810932510021438
4.0,652.0000000000001,0.4866714234746666
4.0,654.0,0.5723619248659518
4.0,656.0,0.6396082018578959
4.0,658.0000000000001,0.6916364486006572
4.0,660.0,0.7317471353411691
4.0,662.0000000000001,0.7627303994339212
4.0,664.0,0.7867724251932088
4.0,666.0000000000001,0.8055313360692604
4.0,668.0,0.8202495162630156
4.0,670.0,0.8318562698398149
4.0,672.0000000000001,0.8410494459999852
4.0,674.0,0.8483567275031902
4.0,676.0000000000001,0.8541805144842675
4.0,678.0,0.8588304849019406
4.0,680.0,0.862547185597932
4.0,682.0,0.8655191817130221
4.0,684.0,0.8678955974788148
4.0,686.0000000000001,0.8697953548575554
