% Model,Simultaneous Measurement of Seawater-v0.mph
% Version,COMSOL 6.3.0.290
% Date,"Feb 18 2026, 00:26"
% Table,Umami Table - Umami-Evaluation
% lambda (m),d (nm),lambda0 (µm),Total transmittance (1)
5.140000000000001E-7,94.99999999999999,0.5140000000000001,0.7485055733087292
5.140000000000001E-7,100,0.5140000000000001,0.7013539770295154
5.140000000000001E-7,104.99999999999999,0.5140000000000001,0.6471148823331514
5.140000000000001E-7,109.99999999999999,0.5140000000000001,0.5783330674231738
5.140000000000001E-7,115,0.5140000000000001,0.5090840665291899
5.140000000000001E-7,120,0.5140000000000001,0.44684216055401066
5.16E-7,94.99999999999999,0.516,0.7854147704685812
5.16E-7,100,0.516,0.7579553912184748
5.16E-7,104.99999999999999,0.516,0.7267619435053676
5.16E-7,109.99999999999999,0.516,0.6862846880792347
5.16E-7,115,0.516,0.6423998948218085
5.16E-7,120,0.516,0.5993209061584255
5.180000000000001E-7,94.99999999999999,0.518,0.8027227900266968
5.180000000000001E-7,100,0.518,0.7843871144010806
5.180000000000001E-7,104.99999999999999,0.518,0.7645358191895305
5.180000000000001E-7,109.99999999999999,0.518,0.7395357973374219
5.180000000000001E-7,115,0.518,0.7122793993654519
5.180000000000001E-7,120,0.518,0.6851359839971377
5.2E-7,94.99999999999999,0.52,0.8111464973517196
5.2E-7,100,0.52,0.7970077012429174
5.2E-7,104.99999999999999,0.52,0.7824951970052599
5.2E-7,109.99999999999999,0.52,0.7651761413901511
5.2E-7,115,0.52,0.7468333439908841
5.2E-7,120,0.52,0.7290901483553016
5.22E-7,94.99999999999999,0.522,0.8154218143165606
5.22E-7,100,0.522,0.8031662485894607
5.22E-7,104.99999999999999,0.522,0.7910890444262441
5.22E-7,109.99999999999999,0.522,0.777453505362657
5.22E-7,115,0.522,0.7635639096280931
5.22E-7,120,0.522,0.7507462020794266
5.24E-7,94.99999999999999,0.524,0.8177656769577801
5.24E-7,100,0.524,0.8062785288772342
5.24E-7,104.99999999999999,0.524,0.7952265507684905
5.24E-7,109.99999999999999,0.524,0.7832821884952424
5.24E-7,115,0.524,0.771504094490081
5.24E-7,120,0.524,0.761096667845629
5.26E-7,94.99999999999999,0.526,0.8192707224913103
5.26E-7,100,0.526,0.8080067321185073
5.26E-7,104.99999999999999,0.526,0.7972883350952452
5.26E-7,109.99999999999999,0.526,0.7860382976131126
5.26E-7,115,0.526,0.7751677433057531
5.26E-7,120,0.526,0.7658322709290173
5.280000000000001E-7,94.99999999999999,0.528,0.8204954760536503
5.280000000000001E-7,100,0.528,0.809191591315441
5.280000000000001E-7,104.99999999999999,0.528,0.7984703572876157
5.280000000000001E-7,109.99999999999999,0.528,0.7874152072672095
5.280000000000001E-7,115,0.528,0.776836993448464
5.280000000000001E-7,120,0.528,0.7678735010588427
5.3E-7,94.99999999999999,0.53,0.8217298805686591
5.3E-7,100,0.53,0.8102684260870651
5.3E-7,104.99999999999999,0.53,0.7993893076427044
5.3E-7,109.99999999999999,0.53,0.7882842910171575
5.3E-7,115,0.53,0.7776897140641436
5.3E-7,120,0.53,0.7687379241013481
